,Date,Price,comm_count
527,2021-03-30,4.78,596
528,2021-03-31,4.52,599
529,2021-04-01,4.64,284
530,2021-04-02,4.75,106
533,2021-04-05,4.68,146
534,2021-04-06,4.77,103
535,2021-04-07,4.91,79
536,2021-04-08,5.4,243
537,2021-04-09,5.23,96
540,2021-04-12,5.25,48
541,2021-04-13,5.08,100
542,2021-04-14,5.13,51
543,2021-04-15,5.44,120
544,2021-04-16,5.57,114
547,2021-04-19,5.46,115
548,2021-04-20,5.4,74
549,2021-04-21,5.45,77
550,2021-04-22,5.62,137
551,2021-04-23,5.73,48
554,2021-04-26,5.9,191
555,2021-04-27,5.78,175
556,2021-04-28,5.67,113
558,2021-04-30,5.65,119
561,2021-05-03,5.48,93
562,2021-05-04,5.45,109
563,2021-05-05,5.32,145
564,2021-05-06,5.06,181
565,2021-05-07,5.26,145
568,2021-05-10,5.16,101
569,2021-05-11,5.18,100
570,2021-05-12,5.35,120
575,2021-05-17,5.29,40
576,2021-05-18,5.34,91
577,2021-05-19,5.45,96
578,2021-05-20,5.37,45
579,2021-05-21,5.31,53
582,2021-05-24,5.26,51
583,2021-05-25,5.2,38
585,2021-05-27,5.12,57
586,2021-05-28,5.09,125
589,2021-05-31,5.18,77
590,2021-06-01,5.09,85
591,2021-06-02,5.1,86
592,2021-06-03,5.0,103
593,2021-06-04,4.9,96
597,2021-06-08,4.78,103
598,2021-06-09,4.84,325
599,2021-06-10,4.8,153
600,2021-06-11,4.72,127
603,2021-06-14,4.77,327
604,2021-06-15,4.74,189
605,2021-06-16,4.66,232
606,2021-06-17,4.63,178
607,2021-06-18,4.7,183
610,2021-06-21,4.67,110
611,2021-06-22,4.65,190
612,2021-06-23,4.45,286
613,2021-06-24,4.35,364
614,2021-06-25,4.35,211
617,2021-06-28,4.23,213
618,2021-06-29,4.3,175
619,2021-06-30,4.17,186
620,2021-07-01,4.07,228
621,2021-07-02,4.01,331
624,2021-07-05,3.95,327
625,2021-07-06,3.94,249
626,2021-07-07,3.86,214
627,2021-07-08,3.72,287
628,2021-07-09,3.82,152
631,2021-07-12,3.71,97
632,2021-07-13,3.77,73
633,2021-07-14,3.76,129
634,2021-07-15,4.04,206
635,2021-07-16,3.97,189
638,2021-07-19,3.93,91
640,2021-07-21,4.16,71
