,Date,Price,Sum_Bull,Sum_Bear
353,2020-10-07,8.8,48,21
354,2020-10-08,8.8,26,7
355,2020-10-09,8.81,17,15
358,2020-10-12,8.97,70,15
359,2020-10-13,9.09,28,6
360,2020-10-14,9.48,47,30
361,2020-10-15,9.34,27,21
362,2020-10-16,9.34,26,15
365,2020-10-19,9.6,38,13
366,2020-10-20,9.48,17,11
367,2020-10-21,8.88,69,63
368,2020-10-22,8.9,53,27
369,2020-10-23,8.7,38,19
372,2020-10-26,8.7,21,26
373,2020-10-27,8.91,32,13
374,2020-10-28,8.78,22,15
376,2020-10-30,8.57,19,21
379,2020-11-02,8.39,38,32
380,2020-11-03,8.32,24,20
381,2020-11-04,8.1,39,22
382,2020-11-05,8.3,34,28
383,2020-11-06,8.5,50,22
386,2020-11-09,8.48,39,31
387,2020-11-10,7.8,85,74
388,2020-11-11,7.86,54,37
389,2020-11-12,7.7,82,45
390,2020-11-13,7.78,71,28
393,2020-11-16,7.2,97,102
394,2020-11-17,7.0,119,96
395,2020-11-18,7.01,115,61
396,2020-11-19,6.94,72,52
397,2020-11-20,7.29,70,37
400,2020-11-23,7.35,104,107
401,2020-11-24,6.8,105,85
402,2020-11-25,6.65,82,70
403,2020-11-26,7.05,63,39
404,2020-11-27,6.99,46,39
407,2020-11-30,7.12,25,22
408,2020-12-01,6.79,74,67
409,2020-12-02,6.68,61,32
410,2020-12-03,6.78,46,31
411,2020-12-04,6.65,44,26
414,2020-12-07,6.6,49,33
415,2020-12-08,7.09,70,60
416,2020-12-09,6.84,179,189
417,2020-12-10,6.99,78,48
418,2020-12-11,6.9,60,47
421,2020-12-14,6.3,156,140
422,2020-12-15,6.41,68,81
423,2020-12-16,6.77,80,51
424,2020-12-17,6.7,52,52
425,2020-12-18,6.64,48,50
428,2020-12-21,6.62,45,42
429,2020-12-22,6.69,30,34
430,2020-12-23,6.73,45,23
431,2020-12-24,6.49,30,37
435,2020-12-28,6.26,69,63
436,2020-12-29,6.01,100,104
437,2020-12-30,6.12,114,55
438,2020-12-31,6.12,54,67
442,2021-01-04,5.5,166,148
443,2021-01-05,5.72,52,65
444,2021-01-06,5.76,60,77
445,2021-01-07,5.8,42,113
446,2021-01-08,6.5,82,209
449,2021-01-11,6.43,81,132
450,2021-01-12,6.68,57,112
451,2021-01-13,6.63,47,90
452,2021-01-14,6.37,61,102
453,2021-01-15,6.42,45,73
456,2021-01-18,6.34,34,107
457,2021-01-19,6.13,47,61
458,2021-01-20,6.14,42,60
459,2021-01-21,6.02,67,81
460,2021-01-22,6.25,62,75
463,2021-01-25,6.52,58,115
464,2021-01-26,6.2,59,99
465,2021-01-27,6.21,44,88
467,2021-01-29,6.74,177,236
471,2021-02-02,7.05,56,72
472,2021-02-03,6.82,53,127
473,2021-02-04,6.71,42,80
474,2021-02-05,6.61,64,94
477,2021-02-08,6.27,108,134
478,2021-02-09,6.2,49,136
479,2021-02-10,6.15,50,96
480,2021-02-11,6.18,20,32
484,2021-02-15,6.17,23,20
485,2021-02-16,6.06,35,51
486,2021-02-17,6.19,14,8
487,2021-02-18,6.07,13,14
488,2021-02-19,6.05,31,26
491,2021-02-22,5.78,69,65
492,2021-02-23,5.67,60,45
493,2021-02-24,5.23,105,97
494,2021-02-25,5.3,61,54
495,2021-02-26,5.24,73,30
498,2021-03-01,4.9,130,97
499,2021-03-02,4.75,89,53
500,2021-03-03,5.09,36,40
501,2021-03-04,4.96,30,45
502,2021-03-05,5.25,36,30
505,2021-03-08,5.04,29,39
506,2021-03-09,5.19,76,69
507,2021-03-10,5.32,43,30
508,2021-03-11,5.32,17,9
509,2021-03-12,5.2,38,35
512,2021-03-15,5.18,31,36
513,2021-03-16,5.24,19,12
514,2021-03-17,5.38,24,17
515,2021-03-18,5.26,19,16
516,2021-03-19,5.41,15,31
519,2021-03-22,5.4,26,20
520,2021-03-23,5.05,17,17
521,2021-03-24,5.12,5,7
522,2021-03-25,5.1,15,7
523,2021-03-26,5.15,11,14
526,2021-03-29,5.05,21,20
527,2021-03-30,4.78,84,68
528,2021-03-31,4.52,97,74
529,2021-04-01,4.64,41,38
530,2021-04-02,4.75,25,14
533,2021-04-05,4.68,17,27
534,2021-04-06,4.77,20,18
535,2021-04-07,4.91,13,8
536,2021-04-08,5.4,47,17
537,2021-04-09,5.23,20,8
540,2021-04-12,5.25,14,1
541,2021-04-13,5.08,12,16
542,2021-04-14,5.13,15,0
543,2021-04-15,5.44,13,15
544,2021-04-16,5.57,17,18
547,2021-04-19,5.46,22,33
548,2021-04-20,5.4,17,11
549,2021-04-21,5.45,12,14
550,2021-04-22,5.62,21,23
551,2021-04-23,5.73,9,6
554,2021-04-26,5.9,24,22
555,2021-04-27,5.78,16,36
556,2021-04-28,5.67,16,18
558,2021-04-30,5.65,13,14
561,2021-05-03,5.48,10,13
562,2021-05-04,5.45,16,14
563,2021-05-05,5.32,21,20
564,2021-05-06,5.06,28,29
565,2021-05-07,5.26,29,27
568,2021-05-10,5.16,8,15
569,2021-05-11,5.18,11,15
570,2021-05-12,5.35,8,12
575,2021-05-17,5.29,6,5
576,2021-05-18,5.34,11,17
577,2021-05-19,5.45,7,11
578,2021-05-20,5.37,4,14
579,2021-05-21,5.31,4,8
582,2021-05-24,5.26,12,8
583,2021-05-25,5.2,6,2
585,2021-05-27,5.12,3,6
586,2021-05-28,5.09,13,25
589,2021-05-31,5.18,5,6
590,2021-06-01,5.09,3,13
591,2021-06-02,5.1,6,7
592,2021-06-03,5.0,10,25
593,2021-06-04,4.9,13,19
597,2021-06-08,4.78,16,23
598,2021-06-09,4.84,37,63
599,2021-06-10,4.8,27,32
600,2021-06-11,4.72,16,24
603,2021-06-14,4.77,41,59
